emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Ras Al Khaimah,10020,Z,14900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,78999,Y,14900,2026-07-17T08:08:08.457549Z,2026-07-29T08:38:38.549005Z,sold,2026-08-01T08:19:16.373088Z
Ras Al Khaimah,11109,I,14400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,11102,X,14400,2026-07-17T08:08:08.457549Z,2026-08-05T08:33:48.900330Z,sold,2026-08-09T06:54:20.425499Z
Ras Al Khaimah,44456,X,13900,2026-06-21T09:49:07.356628Z,2026-06-25T09:20:04.682904Z,sold,2026-06-29T10:57:40.217460Z
Ras Al Khaimah,1320,I,13900,2026-07-17T08:08:08.457549Z,2026-07-17T08:08:08.457549Z,sold,2026-07-21T08:26:36.002074Z
Ras Al Khaimah,5410,M,13400,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,1076,D,13400,2025-12-23T20:41:24.173048Z,2026-02-05T06:58:40.331407Z,sold,2026-02-09T07:03:54.809176Z
Ras Al Khaimah,16777,Y,13400,2025-12-23T20:41:24.173048Z,2026-02-17T06:58:56.704252Z,sold,2026-02-21T06:41:05.058807Z
Ras Al Khaimah,15001,C,13400,2026-03-09T07:01:37.555148Z,2026-04-21T07:49:22.306260Z,sold,2026-04-25T07:15:49.742153Z
Ras Al Khaimah,1780,D,13400,2026-03-09T07:01:37.555148Z,2026-05-13T08:43:05.490281Z,sold,2026-05-17T08:20:24.322378Z
Ras Al Khaimah,10102,X,13400,2026-03-09T07:01:37.555148Z,2026-03-13T06:53:47.771080Z,sold,2026-03-17T07:03:41.465620Z
Ras Al Khaimah,88810,X,13400,2026-03-09T07:01:37.555148Z,2026-03-17T07:03:41.465620Z,sold,2026-03-21T06:42:34.703146Z
Ras Al Khaimah,33369,Y,13400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,20300,Z,13400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,20201,Z,13400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,78700,M,13400,2026-07-17T08:08:08.457549Z,2026-07-21T08:26:36.002074Z,sold,2026-07-25T08:04:35.361075Z
Ras Al Khaimah,91900,M,13400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,3201,Z,13400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,80040,M,13000,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,4203,C,12900,2025-12-23T20:41:24.173048Z,2026-02-21T06:41:05.058807Z,sold,2026-02-25T07:01:53.093647Z
Ras Al Khaimah,67070,M,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,6107,N,12900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,35111,N,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,30038,S,12900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,2301,K,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,8071,I,12900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,40010,I,12900,2025-12-23T20:41:24.173048Z,2026-01-17T06:30:29.141511Z,sold,2026-01-21T06:36:19.660785Z
Ras Al Khaimah,70071,I,12900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,77756,V,12900,2025-12-23T20:41:24.173048Z,2026-02-09T07:03:54.809176Z,sold,2026-02-13T06:59:25.296667Z
Ras Al Khaimah,1305,Y,12900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,10041,Y,12900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,30400,Y,12900,2025-12-23T20:41:24.173048Z,2026-02-09T07:03:54.809176Z,sold,2026-02-13T06:59:25.296667Z
Ras Al Khaimah,80700,X,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,22230,C,12900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,5403,N,12900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,98777,N,12900,2026-03-09T07:01:37.555148Z,2026-03-09T07:01:37.555148Z,sold,2026-03-13T06:53:47.771080Z
Ras Al Khaimah,76665,S,12900,2026-03-09T07:01:37.555148Z,2026-03-21T06:42:34.703146Z,sold,2026-03-25T07:01:59.854896Z
Ras Al Khaimah,10017,S,12900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,7605,K,12900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,87111,I,12900,2026-03-09T07:01:37.555148Z,2026-03-13T06:53:47.771080Z,sold,2026-03-17T07:03:41.465620Z
Ras Al Khaimah,10808,I,12900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,66605,N,12900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,55510,S,12900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,69990,I,12900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,10012,Z,12900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,66609,S,12900,2026-07-17T08:08:08.457549Z,2026-07-29T08:38:38.549005Z,sold,2026-08-01T08:19:16.373088Z
Ras Al Khaimah,66619,I,12900,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,99987,X,12900,2026-07-17T08:08:08.457549Z,2026-07-21T08:26:36.002074Z,sold,2026-07-25T08:04:35.361075Z
Ras Al Khaimah,12666,M,12400,2025-12-23T20:41:24.173048Z,2026-01-14T19:00:52.915072Z,sold,2026-01-17T06:30:29.141511Z
Ras Al Khaimah,30013,S,12400,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,66602,D,12400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,31001,I,12400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,77011,I,12400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,55600,X,12400,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,8130,Z,12400,2025-12-23T20:41:24.173048Z,2026-02-05T06:58:40.331407Z,sold,2026-02-09T07:03:54.809176Z
Ras Al Khaimah,4015,M,12400,2026-03-09T07:01:37.555148Z,2026-03-25T07:01:59.854896Z,sold,2026-03-29T07:02:43.619449Z
Ras Al Khaimah,65050,M,12400,2026-03-09T07:01:37.555148Z,2026-04-21T07:49:22.306260Z,sold,2026-04-25T07:15:49.742153Z
Ras Al Khaimah,30010,M,12400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,33445,S,12400,2026-03-09T07:01:37.555148Z,2026-03-09T07:01:37.555148Z,sold,2026-03-13T06:53:47.771080Z
